"label","headline"
"0"," Pinagsamang editoryal: Ang pangulo at press ay may iisang tungkulin"
"0"," Ang talumpati ni Trump ay pumukaw ng bagong digmaang salita ng US-Iran"
"0"," Duterte, Peter Lim ay mga sponsor sa parehong kasal"
"0"," TRAIN 2 hindi priority ng Senado, sabi ni Zubiri"
"0"," Pumili ka: Totoo o artipisyal na mga Christmas tree?"
"0"," Inilunsad ang unang eco-trail adventure run sa La Union"
"0"," Maging magalang, sinabi ng mga opisyal ng imigrasyon"
"0"," Cusi: Nakatutuwang oras para sa bagong pinuno ng enerhiya"
"0"," Nasunog ang Boracay flea market"
"0"," Masamang agham ang sinisi sa gulo ng Dengvaxia"
"0"," Gusto ni Alvarez na imbestigahan ang mga deal sa BuCor, TADECO"
"0"," Pagdidisimpekta ng Pampanga poultry farms sa; natapos ang culling"
"0"," Ang mga hepe ng PNP, CIDG ay nakakuha ng subpoena powers"
"0"," Duque, mas maraming raps ang kinakaharap ni Garin"
"0"," Kapistahan ng Mahal na Birhen ng Santo Rosaryo"
"0"," Walang lugar para sa mga paglabag sa karapatan sa isang propesyonal na puwersa ng pulisya"
"0"," Palace backs move vs Aquino on Mamasapano"
"0"," Kinasuhan ang DPWH exec sa pagbili ng pampublikong lupa"
"0"," Walang balita sa 14 Pinoy crew ng lumubog na carrier"
"0"," Mga mambabatas: Hindi kriminal si Duterte"
"0","Bahagi ng hindi na-release na allowance ng SAF 'ibinalik'"
"0"," Iminungkahi ng Islamic financing scheme para sa mga residente ng Marawi"
"0"," Malacañang: Ang pagpaparusa sa fake news ay labag sa konstitusyon"
"0"," Gusto ng PH ang 'butanding' sa listahan ng mga endangered animals"
"0"," Walang kakulangan ng bakuna para sa Japanese encephalitis"
"0"," 27 sa 44 SAF troopers ay binaril sa ulo"
"0"," Sinabi ng AFP na malapit nang mabawi ang Marawi"
"0","#NinaPH sa peak intensity nang mag-landfall ito"
"0"," 28 ang pinangangambahang patay sa pagbagsak ng bus sa Taiwan: fire department"
"0","Ang mga motorista ay nagmamaneho sa mga dike sa gitna ng gulo ng kalsada"
"0"," Team Buhay vs Team Patay Round 2 in 17th Congress"
"0"," Stage set para sa classic church-state clash"
"0","Hayaan ang korte na magdesisyon sa amnesty statement ni Galvez, sabi ng militar"
"0"," Badyet ng DAR 'yan ng isang punerarya'"
"0"," Binatikos ni De Lima ang militarisasyon ng BoC"
"0"," Hindi maglalabas ng psycho test ang JBC kay Sereno"
"0","Nanalo sa UNESCO status ang Victorian Gothic at Art Deco na mga gusali ng Mumbai"
"0"," Trillanes: Hindi nagdeklara si Duterte ng P211M sa SALN"
"0"," Ang bird flu virus ay dumulas sa 2 bayan ng Nueva Ecija"
"0"," Sinuspinde ang mga ERC exec dahil sa pagpabor sa Meralco"
"0"," BBL flaws peril Mindanao peace efforts, sabi ni ex-Chief Justice Puno"
"0"," Ibinasura ng abogado ang mga ulat ng gaming mogul na si Okada na gaganapin sa HK"
"0"," Sabi ni Roxas napakadilaw na ng Makati ngayon"
