"label","headline"
"0"," Konsultahin ko pa rin si FVR, sabi ni Duterte"
"0"," Duterte: Hindi ako nakikipag-usap sa mga terorista"
"0"," Dumating ang Egyptian president sa Russia"
"0"," Gusto ni Angara ng libreng dialysis para sa mahihirap na pasyente"
"1"," BAKIT HINDI NAKA NOMINATE SI PHILIPPINE PRESIDENT AQUINO PARA SA NOBEL PEACE PRIZE NGAYONG TAON"
"1"," 10,000,000 katao ang inaasahang sasama kay Duterte sa kanyang Oath-Taking sa Hunyo 30"
"1"," Nasaan ang lahat ng anti Martial Law na ""aktibismo"" sa nakalipas na 30 taon?? Natutulog??"
"0"," Naghain si Poe ng bill tungkol sa kaligtasan sa kalsada"
"0"," 33 kumpirmadong kaso ng Zika–DOH chief"
"1"," Nabigo ang Administrasyong Obama nang umasa ito sa Philippine news media para sa impormasyon upang ibase ang mga desisyon nito"
"1"," Hindi Pipigilan ng Commission on Elections ng Pilipinas ang laban ni Pacquiao, Sabing Walang Kapangyarihan"
"1","Tinawag ni Duterte ang pagkukunwari ng mga karapatang pantao ng US sa Laos, nagpahayag ng ""nakagigimbal"" na mga kalupitan ng US Army"
"1"," Hindi Tatakbong Pangulo si Leni Robredo Sa 2022, Ngunit Gusto Niya Ang Panguluhan Ngayon"
"1"," Bruno Mars Models President-Elect Duterte's Inaugural Attire"
"1"," Ibinunyag na ang pagkakakilanlan ng lalaking UPLB na nang-bash kay Duterte sa UPLB Forum"
"1"," ""Pupunta ba tayo sa impyerno ngayon?"" Tina-tag kami ng CBCP at ang Mindanasyon bilang 'fake news sites'"
"1"," “Daig pa si Jose Rizal?” Bam Aquino: My uncle is a 'national hero' so anong masama kung idol ko siya?"
"1","MAKIKITA NG EAST COAST TV VIEWERS ANG OSCARS 24 ORAS MAKAraan, NAG-AANUNSYO ANG ABC"
"1"," Ayon sa Saligang Batas, HINDI lamang impeachment ang paraan para matanggal sa pwesto si CJ Sereno"
"0"," Aquino sa opensiba"
"1"," NAKAKAGULAT! Nagulat Ang Lahat kay Duterte Sa Paglahad Ng Katotohan Sa Isyu ni Lascanas Tungkol Kay Jun Pala"
"0"," Paano pinanatiling walang katiwalian ng dating pinuno ng Peza"
"1"," President Duterte Reminded Sara in Public, ""Ma'am Baka Gusto Mong Magmano?"""
"1"," 3 bagay na pumipigil sa Pilipinas na maging isa pang Singapore"
"1"," Ang @CHRgovPh ay kasalukuyang isang legal na kathang-isip, walang legal na batayan kahit na tawagin ang sarili na isang Komisyon"
"1"," Ang Kailangan Mong Malaman Kapag Nag-aaplay Para sa Lisensya sa Pagmamaneho ng Pilipinas"
"0"," Wala pa ring jackpot para sa mga manggagawa sa casino sa araw ng suweldo"
"1"," Ang pagbisita ni Trump ay isang dagok sa mga kritiko ni Duterte"
"0","Binuksan ng LP ang pinto kay Poe; Gusto pa rin siya ng mga miyembro ng partido bilang VP"
"0"," Mga manggagawa ng gobyerno, barangay volunteers, nagpapakita ng suporta kay Duterte"
"1"," Ang mga pwede-na-yan na produkto ng #Philippines sports program ay nagdudulot ng kahihiyan sa mga #Pilipino!"
"1"," JIMMY FALLON, SETH MEYERS NA MAGRETIRO SA 2044"
"0"," Mga Mukha ng Balita: Sheikh Hasina Wazed"
"0"," Tiniyak ng hepe ng Wesmincom na igagalang ang proseso ng kapayapaan sa MILF, MNLF"
"1"," Ang source sa Oxford tungkol sa 'paid internet trolls' ni Duterte ay galing sa Rappler, depensa rin ng Pangulo kay Mocha"
"0"," Duterte nangunguna sa SWS poll"
"1"," PHILIPPINE PRESIDENT AQUINO TOUTS ACCOMPLISHMENTS SA ISANG TALUMPATI SA MADRID, BINANGIT ANG LUMALA NG TRAPIKO"
"1"," WATCH: Pinangunahan ni PNP Chief Bato Dela Rosa ang morning exercise sa Camp Crame"
"0"," Show 'delicadeza,' quit now, pangahas ng ERC chief"
"0"," Aquino: Wala akong secret bet"
"0"," Ang mga pwersang suportado ng US ay nakahanda para sa pag-atake sa huling balwarte ng IS sa silangang Syria"
"1"," Ang ""mga biktima"" ng Batas Militar ay hindi isang maaasahang mapagkukunan ng impormasyon tungkol sa mga taon ng Batas Militar"
"0"," DTI na tulungan ang REGION 4 exporters na maging mas competitive"
"0"," Grace Poe top choice para sa VP sa poll; Roxas isang malayong segundo"
"0"," 4 na nangungunang pulis ang nakaligtas sa pag-crash ng chopper"
"1","MANILA'S MASS RAPID TRANSIT (MRT) NANALO NG PRESTIGIOUS 'MOST POPULAR' SYSTEM AWARD"
"1"," Mga Panuntunan ng PET: Ang Petisyon ni Leni Robredo Upang Patunayan ang 25%-Shaded Balots ay Moot At Academic"
"0"," Napakaraming TRO? Pinabulaanan ng SC chief ang pahayag ni Duterte"
"1"," Ph #outsourcing na industriya: Ang mababang margin, mataas na dami ng pagpoproseso ng tawag ay may maliit na paglago sa hinaharap"
"0"," RAM tanong Almonte memoir"
"0"," Stable ang sitwasyon ng kuryente sa Davao City para sa natitirang bahagi ng taon"
"0"," Tinanggihan ni Mayor Sara ang first lady job"
"1"," Umabot sa 48,000 likes at 21,000 shares ang unang artikulo ni Mocha Uson sa Philstar"
"1"," ANG NANGUNGUNANG LIMANG PRAYORIDAD NI DONALD TRUMP PARA SA DEPORTASYON"
"0"," Barangay, SK poll season starts: Gun ban on; mahigit 5K hot spot ang napanood"
"0"," MWSS chief: Kulang pa rin ang supply ng tubig sa PH"
"0"," Sa dambana, mga panalangin sa ilalim ng kandado at susi"
"1"," Kapag sinabi ng mga Yellowtards na ""patay"" ULIT ang demokrasya, huwag maniwala sa kanila!"
"1"," Binawi ng SEC ang Lisensya ng Media Ng Adobo Chronicles"
"0"," Inilabas ng Korte Suprema ang gag order kina Marcos, Robredo"
"0"," Ililibing ng mga magulang ang labi ng teenager na si Kulot sa Miyerkules"
"0"," 2 Pinoy na estudyante ang nakakuha ng silver award sa 33rd CASTIC"
"0"," Hindi pa rin umiimik si Aquino sa pinahiran"
"0"," Ang kita ng PCSO ay tumaas ng 32% sa P16 bilyon"
"0"," Diskwento Caravan sa Antipolo"
"1"," HINDI PAPAYAGAN NG PROMOTER BOB ARUM ANG ENTRANCE SONG NI MANNY PACQUIAO NOONG MAY 2 LABAN KAY MAYWEATHER"
"1"," Mga Bagay na Sinasabi ng Mga Kulay ng Mata Mo Tungkol sa Iyong Kalusugan at Personalidad"
"1"," Kris Aquino Isn't Retiring After All, She is Retrying"
"1"," Hiniling ni Senator Trillanes na Ilipat sa Manila Pen"
"1"," BIGLANG KINANSELA NG PUTIN ANG ASYLUM VISA NI SNOWDEN"
"1"," PINAKABAGONG PILIPINAS NA SHOPPING MALL , ISANG ARAW MATAPOS ITO MAGBUKAS"
"0"," Pompeo na bumisita sa NKorea sa susunod na linggo, pinangalanan ang Ford exec bilang envoy"
"1"," Duterte na Itapon sa Manila Bay ang mga Senador ng Oposisyon Bilang Bahagi ng Paglilinis ng Gobyerno"
"0"," Binalaan ni Duterte ang mga pulis laban sa hindi opisyal na paggamit ng mga patrol car"
