"label","headline"
"0"," UP summa grad mula sa Marawi echoes call for peace"
"1"," MAGHAKA BA ANG TUNAY NA DEMOCRATIC VICE PRESIDENTIAL CANDIDATE?"
"1"," WATCH: Isang Motorcade Rally ang Idinaos na Humiling kay De Lima na Magbitiw Bilang Senador!"
"1"," Inilabas ng NBI ang Mga Paunang Natuklasan Sa Pag-hack Ng Mga Social Media Account ni Senator Bam Aquino"
"1"," 'LET IT GO' MULA SA 'FROZEN' BUMALIK SA ITAAS NG CHARTS, SALAMAT KAY MANNY PACQUIAO"
"0"," Nagsampa ng graft charges ang NBI laban sa mga kawani ng NPO dahil sa mga private work order"
"0"," Gawing transparent ang pagboto ng CA – Robredo"
"0"," IN THE KNOW: Supertyphoon 'Yolanda'"
"1"," SAN FRANCISCO IPINAGBAWAL ANG DEER NA TUMAWID sa GOLDEN GATE BRIDGE"
"1"," HINDI OPISYAL NA ANNOUCEMENT NG MALACAÑANG: 5-DAY HOLIDAY SA PAPAL VISIT SA PILIPINAS"
"0"," Itinalaga ang mga bagong deputy chief ng BuCor"
"1"," Inaprubahan ng SEC ang Rappler-Adobo Chronicles Merger"
"1"," Bakit Nabigo ang Pagbabago mula sa Loob ng System"
"1"," The Gods And Demons Of The Lemming: A Fable About Idolatry"
"1"," AQUINO, ROXAS, MAKIPAGKITA KAY DONALD TRUMP UPANG PAGTALAKAY SA ISYU NG MAMAMAYAN SI SENADOR POE"
"0"," Hinihiling ni dating Palawan Gov. Joel Reyes na ibasura ang kaso ng fertilizer scam"
"1"," (VIDEO) SA BUONG AMERIKA, GINAGAWA NG MGA TAO ANG CHICKEN DANCE, THANKS TO BEYONCE"
"0"," Rody tells Leni: Gusto ko ng hiwalay na inagurasyon"
"1"," PILIPINAS: NAGLABAS NA NG ILANG ROMANTIC COUPLES ANG SONA"
"1"," Duterte on De Lima: 'Nagsimula ang shabu sa Bilibid noong panahon niya'"
"1"," POPE, HUMINGI NG BALUT PARA SA UNANG HAPUNAN SA PILIPINAS"
"1","Ang mga social media 'influencers' ng Pilipinas ay may kakulangan sa pag-iisip upang harapin ang mga pambansang isyu"
"0"," Kulang pa ng P1.4M si Leni sa kanyang poll protest dues"
"1"," MAPOTONG ITINANGGI NG NORWAY ANG PAG-Alok ng PILIPINO NG GOBYERNO NG FINANCIAL AID SA FILIPINO-NORWEGIAN OLYMPIC FIGURE SKATER"
"0"," Hinimok ng gobyerno na kumilos sa presyo, sahod"
"0"," Exorcise 'multo' from trial, Bong Revilla asks"
"1"," FACEBOOK, TWITTER UPANG TANGGALIN ANG MGA HASHTAG (#)"
"1"," Iboboto ng Amerikanong ito si Duterte kung kaya ko, at narito ang tatlong dahilan kung bakit..."
"0"," Kinuha ba ang mga labi ni Marcos mula sa mausoleum sa isang libreng konsiyerto?"
"1"," Hindi sapat na motivator ang #kahirapan at #gutom para magbago ang mga #Pilipino"
"1"," Nais ng NAIA ng Maynila na Mabawi ang Pamagat Nito Bilang Pinakamasamang Paliparan sa Mundo"
"0"," Nagluto rin ng raket ng sibuyas ang kartel ng bawang—ulat ng DOJ"
"0"," Embattled Spanish PM na haharapin ang no-confidence vote ngayong linggo"
"0"," Ang dismissal ng Camarines Norte gov ay pinatigil ng CA"
"1"," Inilabas ng Kagawaran ng Turismo ng Pilipinas ang Bagong Promo Slogan, Isang Double Entender"
"0"," Binawi ng Palasyo ang amnestiya ni Trillanes"
"1"," Nahuli ang UP Student kasama ang mga miyembro ng teroristang NPA sa Negros Island"
"0"," Araw ng Kalayaan ng Republika ng Equatorial Guinea"
"1"," Nais Ngayon ni Donald Trump na Magtayo ng Border Wall sa Pagitan ng US at Canada"
"0"," IN THE KNOW: Quick Response Funds"
"0"," Ang mga kumpanya ng langis ay nagpapataw ng mabigat na pagtaas ng presyo"
"0"," Magsagawa, magreporma, magbago para sa Bagong Taon"
"0"," Mas mahigpit na mga pagsusuri sa imigrasyon sa lahat ng entry point na iniutos"
"0"," Binatikos ng komunidad ng UP ang alok ng board of regents"
"0"," Maaaring i-snub ni Duterte ang kanyang koronasyon, o gagawin niya?"
"0"," Ang mahinang diyeta ay nagpapaantala sa pagbubuntis, pinipigilan ang pagkamayabong - pag-aaral"
"1"," Tatlong OFW sa Saipan, natagpuang patay sa loob ng imburnal"
"0"," Dalawang mahistrado ng SC ang sumama kay Duterte"
"1"," Itinalaga si Miss Universe Pia Wurtzbach sa Gabinete ni Pangulong Duterte"
"0"," Dumating si Trump para makipag-usap sa pinuno ng Palestinian sa Bethlehem"
"1"," WATCH: Nagningning si PNP Chief Dela Rosa sa It's Showtime"
"1"," Dutertenews, May-akda sa NewsToday"
"0"," Ang kaso ng Kavanaugh ay lumaganap habang inihahanda ng DeVos ang panuntunan sa sekswal na pag-atake"
"1"," Aware ba ang DAD ni @MrFrankBaraan sa sinasabing drug links ni Leila De Lima? 😱"
"0"," Paggawa ng kapayapaan sa Peninsula; mga unang taon ng globalisasyon"
"1"," Netizen writes open letter to Sen. Rubio after meeting with Sen. Trillanes: ""Only a moron can be fooled by a fool."""
"0"," Nanalo ang Bulacan sa pinakamahusay na LGU sa coop dev't"
"0"," Ano ang nagtutulak sa kanila na maghanap ng VP post?"
"0"," Malamang na ninuno ng misteryong 'hobbit' ang natagpuan"
"0"," Buwan: Ang relasyon sa US 'rock solid'"
"0"," Inilabas ng DoH ang P8.1-B na maanomalyang proyekto"
"1","Inihayag ng mga dokumento ng CIA ang ulat ng balita na humiling si Cory Aquino ng airstrike mula sa US para patayin ang mga sundalo laban sa kanyang gobyerno"
"1"," Nagprotesta ang mga Estudyante ng UP Hiniling na Magbayad ng Gobyerno"
"0"," Brillantes: Panatilihin si Grace Poe sa balota; pwede pa siyang pumunta sa SC"
"1"," Rudy Giuliani: Babae Sa Larawan Ay Isang Hillary Body Double"
"1","Breaking: Papabilisin ni Pope Francis ang pagiging Santo ni Cory Aquino"
"1"," 10% ng mga obispo at pari ng pilipino ay sumang-ayon sa pinakahuling pahayag ni Pope Francis sa homosexuality"
"1"," Ang galit ni Senator Lacson sa baboy ang dahilan kung bakit may libreng tuition sa lahat ng SUC sa susunod na taon"
"0"," Nagulat si Lacson na walang sumpa na Sona"
"1"," Naabot ang Kompromiso: Kontrobersyal na Torre De Manila Construction Resumes"
"0"," Ipinagtanggol ng mga Mabilog ang 'white house'"
"1","Oras na ba ang mga Pilipino na huminto sa paggawa ng throwbacks sa administrasyon ni Noynoy Aquino?"
"1","BABALA BASAG TRIP! Pelikulang Pilipino Nagbubunyag ng Sikreto: Paano Gumawa ng Pekeng Boobs"
"0"," Matapos matugunan ang pagkaantala, lumipad si Rosenstein kasama si Trump sa AF1"
"0"," Iniimbestigahan ng Palasyo ang mga mayayamang biyahe ng mga opisyal ng ERC"
"0"," Bulacan 1st runner-up sa ATOP-DOT Pearl Awards"
"0"," Nagkaproblema si 'Juana Change' sa pagsusuot ng uniporme ng Army"
"1"," GUSTO NI ANN COULTER NA MA-SCRAPPED ANG NATIONAL SPELLING BEE"
"0"," Trump na laktawan ang South America, ipapadala si Pence"
"0"," Fox's parting shot: Huwag manahimik sa gitna ng mga pang-aabuso"
"0"," VACC, nagsampa ng kaso sa halalan VS Aquino, nanawagan ng pakana ng kampanya sa programa ng bakuna"
"0"," Iba-iba ang reaksyon ng pagbasura ni Duterte sa mga quota sa pag-import ng bigas"
"1"," WATCH: Ano ang nangyari ilang segundo bago harapin ni Sass ang BBC?"
"0"," Inilalagay ng DOH ang mga Ospital sa Code White"
"1"," Ang Paulit-ulit na Bangungot ni Steve Harvey"
"0"," Butuan brgy chairman, pinatay"
"1"," Pagdinig sa Mamasapano: Sinira ni Pangulong Noynoy Aquino ang chain of command na may kalunus-lunos na resulta"
"1"," Tinatanggihan ng Trump Properties ang Mga Banyo na Neutral sa Kasarian"
"1"," Inamin ng babae na sinanay siya ng kampo ni Sen. Trillanes para tumestigo laban kay Pangulong Duterte sa International Criminal Court"
"1"," Kailangang matutunan ng news media na harapin ang kabastusan ni Duterte"
"0"," Hinihimok ng mga obispo na imbestigahan ang mga pagpatay sa 'lumad'"
"0"," DOT asks BI: Pagaan ang proseso ng visa para sa mga turista"
"0"," Rosenstein, Wray mukha galit House Republicans sa pagdinig"
"0"," Top narc busted: Sabihin mong hindi, Col. Marcelino"
"0"," Kinondena ng 5 senador ang pagpatay sa presidente ng unibersidad sa CDO"
"1"," TAIWAN'S TOFU, DURIAN EXPORT BIGLANG SKYROCKET"
"0"," Hold order na inisyu kumpara sa party list lawmaker"
"0"," Naghahain ang La Trinidad ng higanteng veggie salad"
"0"," Para sa gurong ito, ang isang silid-aralan ay maaaring isang kapilya o sementeryo"
"0"," Pabor ang mga Maranao sa kampo ng AFP sa Marawi"
"1"," Kung Paano Sinisira ng mga Tubong Duterte Supporters ang Sariling Kandidato"
"1"," Kalihim ng Komunikasyon ng Pangulo ng Pilipinas: 'Narito na ang Ikalawang Pagdating!'"
"0"," Ang grupo ng mga pribadong paaralan ay nagpapahayag ng mga alalahanin sa suweldo, subsidy"
"1"," Traffic at brownout! Ang NYT ay nagpinta ng kapahamakan at kadiliman sa #Philippines habang lumalawak ang agwat sa imprastraktura!"
"0"," Umabot sa 72 ang mga pagpatay na may kinalaman sa droga mula noong Hunyo 30"
"1"," Isinalaysay ng #Pilipino old-timer ang paglustay ng #Philippines' head start"
