"label","headline"
"1"," Pinabaha ng mga Filipino American ang Miss Universe Apartment ng Bago, Mamahaling Cookware"
"1","Sa pulitika ng Pilipinas, HINDI dapat “woman up” ang mga babae. Dapat silang MAN up."
"1"," IPINAHAYAG NG SECURITY LEAK ANG NAKAKAGULANG NA SEKRETO TUNGKOL SA BAGONG BAY BRIDGE SPAN"
"0"," Let de Lima lawyer work for her release, IPU told"
"1"," Justin Bieber's Philippine Concert Contingent Sa Pagpapasa ng Drug Test"
"1"," Maaaring nilabag ni Jover Laurio at ng kanyang dating call center employer ang mga batas sa privacy ng Australia"
"0"," Magtalaga ng mga bagong Comelec execs ngayon, hinihimok ni Gatchalian si Du30"
"1"," KUMUHA NG IYONG LIBRENG AUTOGRAPHED COPY NG LIBRO, MGA KOMPLYO NG ADOBO CHRONICLES"
"0"," Palasyo: Igagalang ni Duterte ang desisyon ng SC"
"0"," Ilocos Sur: Pinalakas ng mga alamat ng PBA ang sports dev't program"
"0"," Ang pagpaslang sa dating miyembro ng INC ay iniimbestigahan"
"0"," Si Evasco ay tumakbo bilang gobernador ng Bohol"
"0"," Inaalarma ng pagsusuri sa lupa ang 5M manggagawa"
"1"," Rappler Fact-Checks Pinoy Ako Blog"
"0"," 4 na binatilyo ang nasawi sa aksidente ng motor sa Ilocos Sur"
"1"," Nag-react si Drilon sa pagkamatay ni Ozamiz Mayor"
"0"," Naaresto ang drug suspect sa pagsalakay sa Caloocan"
"0"," Duterte kay Hontiveros: Huwag mag-conclude"
"0"," Iniimbestigahan ng MPD ang kambal na pagsabog sa Quiapo"
"0"," Palasyo hindi napigilan ng 'bad publicity' ng BBL"
"0"," Niyakap ng mga Pilipino ang Halloween sa Subic"
"0"," Nakatakdang makakuha ng 5 pang batalyon ang Special Action Force"
"1"," Singer slams Pro-Sereno group: Defend Democracy kuno pero hindi matanggap kapag di pabor sa kanila ang opinyon"
"0"," P4.5-B Batangas City water deal sealed"
"1"," Narito na ang Dakilang Luneta Face To Face Social Media Debate!"
"0"," Iminungkahi ng BM na maging rehab centers ang mga kulungan"
"0"," DFA upang makakuha ng mas malaking pondo para sa tulong sa mga OFW"
"1"," NAHIHIYA SA WORLD CUP NG FIFA: ANG 'WORLD SERIES' NG BASEBALL NA PAPILIGANG 'AMERICAN SERIES'"
"0"," Nagsimulang mag-hunger strike ang mga migranteng sakay ng barko ng Italian coast guard"
"1"," Binatikos ni Davao City Mayor Inday Sara Duterte ang mga militante sa paggamit ng bata sa rally noong Setyembre 21"
"1"," Ang pagtanggal kay Leni Robredo ay nangangailangan ng maingat na pag-iisip sa halip na pabigla-bigla na aksyon #LeniResign"
"1"," 'DATE' NI PRESIDENT AQUINO WITH MISS PHILIPPINES A THREESOME?"
"0"," DOJ: 50 local execs sa droga"
"1"," Humingi ng tulong ang kampo ni Duterte kung ano ang itatawag kay Pangulong Rody"
"0","Ex-DENR exec kinasuhan ng perjury"
"1"," Maging Duterte Volunteer: Narito kung paano sumali sa koponan"
"1"," Bago bumisita si Duterte, anim na Presidential guard ang nag-ambush sa Lanao Del Sur"
"0"," Kapulungan, DBM ay nananatili sa kanilang mga baril sa isyu ng 2019 budget"
"1"," [FACT CHECK] Wasto ba ang Businessworld-SWS Survey? Gawin natin ang matematika"
"1"," Ang KATOTOHANAN tungkol sa Batas Militar: Hindi na naniniwala ang mga kabataang Pilipino na masama ang lahat!"
"0"," Mocha Uson, humihingi ng paumanhin ang blogger sa deaf community"
