"label","headline"
"1"," Nangungunang Sampung Dahilan Para Lumipat Sa Pilipinas Kung Si Donald Trump ay Nahalal na Pangulo ng Estados Unidos"
"1"," Binatikos ng mga netizens ang PDEA sa pagpapahiya sa mga drug suspect na nahuli sa isang sex party sa Taguig"
"1"," TOP TEN REASONS MAGIGING FLOP ANG PHILIPPINE CONCERT NI MADONNA"
"0"," Ang Islamic State ay naglalayong magpataw ng mga relihiyosong tuntunin sa Hilagang Sinai ng Egypt"
"0"," Sinimulan na ng LTFRB ang mass distribution ng mga fuel card"
"0"," Campaign jingle composer na pinangalanang Duterte adviser"
"1","Sa Kanyang High School Years, Inalis si Ted Cruz Sa Unang Round ng Spelling Bee Contest"
"0"," Binatikos ng mga nars ang bagong batas sa pag-renew ng lisensya"
"1"," Mga Pagkain ng Adobo Chronicles na Nakatiis sa Sarap ng Panahon"
"1"," TEXAS GOVERNOR RICK PERRY AY PUMAYAG NA MAG-ARAL NG BARGAIN SA FELONY CHARGES"
"1"," Sinabi ng beteranong journo sa Mindanao na ""Isinara ni Pangulong Duterte ang huling kabanata ng alamat ni Aquino"""
"0","Ang mga magnanakaw ng sasakyan ay nahaharap sa mas mahabang termino sa ilalim ng bagong batas"
"0","Bishop, pinuri ang mga taong PPCRV para sa 'mahusay na trabaho'"
"0"," Ang palaban na si De Lima ay tinawag na sinungaling si Aguirre"
"1"," Ang #Philippines ay walang kakayahang makitungo sa Estados Unidos bilang katumbas"
"0"," Ang koneksyon ng Intsik"
"1"," Tingnan: Legit ba ang D'Strafford Research? Narito kung ano ang nakuha namin"
"1"," NAGBABATAS ANG SENADOR NG PILIPINAS MULA SA LOOB NG KANYANG SELDA NG KULONG"
"1"," Light a Fire Movement: Ang sukdulang pagkukunwari ng kilusang Anti-Marcos"
"0"," Mountain Province solon namatay"
"1"," Panaghoy sa pagkasira ng kalokohan ng #Philippines #children's television"
"0"," Nagbabala ang DILG laban sa mga post, project peddlers"
"1"," Maaaring Harapin ni Raissa Robles ang mga kasong Pang-aabuso sa Bata Dahil sa Kanyang Mga Komento Sa Photo Shoot ni Isabelle Duterte sa Malacañang"
"1"," Kahit ang Pamilya ni Senator Grace Poe, Hindi Siya Iboboto"
"1"," Sign Mula sa Langit? Dumagsa ang mga Pilipino sa Jollibee Pagkatapos ng Sky Phonomenon sa Maynila"
"0"," Eastern Visayas CIDG top performer"
"0"," 'Higher' passing rate sa 2016 Bar exams"
"1"," WATCH: Pina-wow ni Duterte ang mga Pinoy sa Thailand sa mga tagumpay at biro"
"0"," NPA fighter, patay sa pakikipagsagupaan sa Army sa Bukidnon"
"0"," Sinusuportahan ng mga pinuno ng negosyo ang Gordon bill para lumikha ng Luzon investment corridor"
"0"," Pinaglalaban ng mga sakay ng MRT ang pagtaas ng pamasahe"
"0"," Sinabi ni Espinosa na hindi sangkot sa droga ang kanyang ama"
"1"," Para maintindihan kung saan nanggagaling si Duterte, bumalik sa pinanggalingan niya"
"1","PANGANGAKO NG vice president na si BINAY na PANGALANAN SI NORA AUNOR NATIONAL ARTIST KUNG I-ENDORS ANG KANDIDACY NG ACTRESS"
"0"," Sinabi ni Lorenzana na ang amazon ang inaresto at hindi ang kanyang kamag-anak"
"0"," Pinagbawalan ng DSWD ang paghahatid ng serbisyo sa nayon ng Lumad"
"0"," Pinalaki ng NPC si Roxas, Poe"
"1"," POPE FRANCIS, NAGDELEGATE NG PAPAL TUNGKULIN SA ASYA KAY PHILIPPINE CARDINAL LUIS ANTONIO TAGLE"
"0"," 34 arestado sa anti-gambling ops sa Camarines Norte"
"1"," Ibinunyag ng abogado na si Leni Robredo ay nagsibak dahil ayaw niyang makipagtulungan sa imbestigasyon sa umano'y Yolanda corruption"
"1"," Nagtatapos ba ang Karapatan ng Isang Malayang Pananalita Kung Saan Nagsisimula ang Damdamin ng Isang Tao?"
"0"," P32 milyon Tawi-Tawi fish processing project OKd"
"1"," LUMABAS NA SA WAKAS ANG DATING PANGULONG JIMMY CARTER!"
"0"," 'Mataas na presyo ng mga gulay, mananatili hanggang katapusan ng taon'"
"0"," Ang panliligaw kay Grace Poe ay nagpapatuloy, sabi ng mambabatas"
"0"," Duterte na dadaluhan ang Inaul Festival ng Maguindanao"
"1"," Inihanda ng Kongreso ng Pilipinas ang Gender-Neutral na Banyo Bilang Pag-asam ng Unang Transgender Lawmaker ng Bansa"
"1"," Time Magazine, New York Times Na-hack!"
"0"," Ang OWWA ay nag-upgrade ng livelihood program para sa mga umuuwi na OFW"
"0"," Naglaan ang DOLE ng P200-M 'endo' fund"
"0"," 'Hindi kanais-nais' 24: Nawawalan ng mga proyektong alagang hayop ang mga hindi sumasang-ayon sa mga solon"
"1"," Ididirekta ni Cameron Crowe ang Bagong Pelikula ng Sony Pictures, ""Spokane"""
"0"," Ang mga kotse ay nagkakahalaga ng P500K higit pa sa reporma sa buwis"
"0"," Duterte: Ang kampanya laban sa droga ay nagtulak sa mga kriminal sa pagkidnap"
"1"," Mainit na Balita Pilipinas"
"1"," NAACP NA HALA NG BURGER KING ANG BLACK BURGER NITO"
"1","STOCKTON SUSPECTED FELON AY NAG-SIRMA SA MGA NANGUNGUNANG DESIGNER"
"1"," Ibinunyag ang DAHILAN NG CANCEL TOUR NG JONAS BROTHERS"
"1"," Sa pagsasabing Isang Malaking Tagumpay ang Rehabilitasyon ng Boracay, Iniutos ni Duterte na Isara ang Baguio City ng Anim na Buwan"
"1"," FILIPINO SUPERMAN LOOK-ALIKE, NAKUHA ANG CHANCE NG BUHAY NA HOLLYWOOD"
"0"," Tiniyak ni DU30 ang pagbabago sa mga Pinoy; Ipagdasal mo ako, pakiusap niya"
"1"," Ang kamandag ni Jover Laurio"
"1"," DONALD TRUMP INAANUNSYO ANG KANYANG PAGPILI PARA SA DALAWANG TOP NA POSISYON SA CABINET, MULLS IBA"
"0"," Tinanggap ni Patricia Bautista sa WPP"
"1"," Ito ang dahilan kung bakit dapat hulihin ng mga Pilipino ang pagsisikap na i-impeach si Leni Robredo..."
"1"," WATCH: RJ Nieto ng Thinking Pinoy's brillant response to Sen. Hontiveros: “it's time to stop complaining and start listening”"
"0"," Nagkibit balikat si JPE para ibalik siya sa kulungan"
"0","DSWD, Davao hospitals, nilagdaan ang MOA para sa libreng gamot"
"0"," Eco-friendly gold-copper plant na tataas sa Caraga"
